20201203 11:08:54 Home condition : EDC serial port already open
20201203 11:08:54 Home condition : EDC serial port already open
20201203 11:08:54 Home condition : EDC serial port already open
20201203 11:08:55 Home condition : EDC serial port already open
20201203 11:08:55 Home condition : EDC serial port already open
20201203 11:08:55 Home condition : EDC serial port already open
20201203 11:08:55 Home condition : EDC serial port already open
20201203 11:08:56 Home condition : EDC serial port already open
20201203 11:08:56 Home condition : EDC serial port already open
20201203 11:08:56 Home condition : EDC serial port already open
20201203 11:08:57 Home condition : EDC serial port already open
20201203 11:08:57 Home condition : EDC serial port already open
20201203 11:08:57 Home condition : EDC serial port already open
20201203 11:08:57 Home condition : EDC serial port already open
20201203 11:08:58 Home condition : EDC serial port already open
20201203 11:08:58 Home condition : EDC serial port already open
20201203 11:08:58 Home condition : EDC serial port already open
20201203 11:08:58 Home condition : EDC serial port already open
20201203 11:08:59 Home condition : EDC serial port already open
20201203 11:08:59 Home condition : EDC serial port already open
20201203 11:08:59 Home condition : EDC serial port already open
20201203 11:09:00 Home condition : EDC serial port already open
20201203 11:09:00 Home condition : EDC serial port already open
20201203 11:09:00 Home condition : EDC serial port already open
20201203 11:09:00 Home condition : EDC serial port close
20201203 11:09:00 Home condition : entered into histori input pin
20201203 11:09:00 Home condition : EDC process start
20201203 11:09:00 Home condition : EDC serial port close
20201203 11:09:00 Home condition : EDC serial port open
20201203 11:09:01 Home condition : EDC serial port write
20201203 11:09:01 Home condition : EDC serial port already open
20201203 11:09:01 Home condition : EDC serial port already open
20201203 11:09:01 Home condition : EDC serial port already open
20201203 11:09:01 Home condition : EDC serial port already open
20201203 11:09:02 Home condition : EDC serial port already open
20201203 11:09:02 Home condition : EDC serial port already open
20201203 11:09:02 Home condition : EDC serial port already open
20201203 11:09:03 Home condition : EDC serial port already open
20201203 11:09:03 Home condition : EDC serial port already open
20201203 11:09:03 Home condition : EDC serial port already open
20201203 11:09:03 Home condition : EDC serial port already open
20201203 11:09:04 Home condition : EDC serial port already open
20201203 11:09:04 Home condition : EDC serial port already open
20201203 11:09:04 Home condition : EDC serial port already open
20201203 11:09:05 Home condition : EDC serial port already open
20201203 11:09:05 Home condition : EDC serial port already open
20201203 11:09:05 Home condition : EDC serial port already open
20201203 11:09:05 Home condition : EDC serial port already open
20201203 11:09:05 Home condition : 1
20201203 11:09:05 Home condition : EDC pin 1
20201203 11:09:06 Home condition : EDC serial port already open
20201203 11:09:06 Home condition : EDC serial port already open
20201203 11:09:06 Home condition : EDC serial port already open
20201203 11:09:06 Home condition : 11
20201203 11:09:06 Home condition : EDC pin 1
20201203 11:09:06 Home condition : EDC serial port already open
20201203 11:09:07 Home condition : EDC serial port already open
20201203 11:09:07 Home condition : EDC serial port already open
20201203 11:09:07 Home condition : 111
20201203 11:09:07 Home condition : EDC pin 1
20201203 11:09:07 Home condition : EDC serial port already open
20201203 11:09:08 Home condition : EDC serial port already open
20201203 11:09:08 Home condition : 1111
20201203 11:09:08 Home condition : EDC pin 1
20201203 11:09:08 Home condition : EDC serial port already open
20201203 11:09:08 Home condition : EDC serial port already open
20201203 11:09:08 Home condition : EDC serial port already open
20201203 11:09:08 Home condition : 11111
20201203 11:09:08 Home condition : EDC pin 1
20201203 11:09:09 Home condition : EDC serial port already open
20201203 11:09:09 Home condition : EDC serial port already open
20201203 11:09:09 Home condition : EDC serial port already open
20201203 11:09:09 Home condition : 111111
20201203 11:09:09 Home condition : EDC pin 1
20201203 11:09:10 Home condition : EDC serial port already open
20201203 11:09:10 Home condition : EDC serial port already open
20201203 11:09:10 Home condition : EDC serial port close
20201203 11:09:11 Histori condition : post service start
20201203 11:14:07 Home condition : clear transaksi success
20201203 11:14:07 Home condition : clear transaction log success
20201203 11:14:07 Home condition : clear array success
20201203 11:14:07 Home condition : clear array nasabah success
20201203 11:14:07 Home condition : clear list success
20201203 11:14:07 Home condition : clear transaksi baru success
20201203 11:14:08 Home condition : clear transaksi success
20201203 11:14:08 Home condition : clear transaction log success
20201203 11:14:08 Home condition : clear array success
20201203 11:14:08 Home condition : clear array nasabah success
20201203 11:14:08 Home condition : clear list success
20201203 11:14:08 Home condition : clear transaksi baru success
20201203 11:14:10 Home condition : input kartu success
20201203 11:14:10 Home condition : move to input pin
20201203 11:14:10 Home condition : EDC process start
20201203 11:14:10 Home condition : entered into insert debit
20201203 11:14:10 Home condition : EDC serial port close
20201203 11:14:10 Home condition : EDC serial port open
20201203 11:14:10 Home condition : EDC serial port write
20201203 11:14:10 Home condition : EDC serial port already open
20201203 11:14:10 Home condition : EDC serial port already open
20201203 11:14:11 Home condition : EDC serial port already open
20201203 11:14:11 Home condition : EDC serial port already open
20201203 11:14:11 Home condition : EDC serial port already open
20201203 11:14:11 Home condition : EDC serial port already open
20201203 11:14:12 Home condition : EDC serial port already open
20201203 11:14:12 Home condition : EDC serial port already open
20201203 11:14:12 Home condition : EDC serial port already open
20201203 11:14:12 Home condition : EDC serial port already open
20201203 11:14:13 Home condition : EDC serial port already open
20201203 11:14:13 Home condition : EDC serial port already open
20201203 11:14:13 Home condition : EDC serial port already open
20201203 11:14:14 Home condition : EDC serial port already open
20201203 11:14:14 Home condition : EDC serial port already open
20201203 11:14:14 Home condition : EDC serial port already open
20201203 11:14:14 Home condition : EDC serial port already open
20201203 11:14:15 Home condition : EDC serial port already open
20201203 11:14:15 Home condition : EDC serial port already open
20201203 11:14:15 Home condition : EDC serial port already open
20201203 11:14:15 Home condition : EDC serial port already open
20201203 11:14:16 Home condition : EDC serial port already open
20201203 11:14:16 Home condition : EDC serial port already open
20201203 11:14:16 Home condition : EDC serial port already open
20201203 11:14:17 Home condition : EDC serial port already open
20201203 11:14:17 Home condition : EDC serial port already open
20201203 11:14:17 Home condition : EDC serial port close
20201203 11:14:17 Home condition : entered into histori input pin
20201203 11:14:17 Home condition : EDC process start
20201203 11:14:17 Home condition : EDC serial port close
20201203 11:14:17 Home condition : EDC serial port open
20201203 11:14:17 Home condition : EDC serial port write
20201203 11:14:17 Home condition : EDC serial port already open
20201203 11:14:18 Home condition : EDC serial port already open
20201203 11:14:18 Home condition : EDC serial port already open
20201203 11:14:18 Home condition : EDC serial port already open
20201203 11:14:18 Home condition : EDC serial port already open
20201203 11:14:19 Home condition : EDC serial port already open
20201203 11:14:19 Home condition : EDC serial port already open
20201203 11:14:19 Home condition : EDC serial port already open
20201203 11:14:20 Home condition : EDC serial port already open
20201203 11:14:20 Home condition : EDC serial port already open
20201203 11:14:20 Home condition : EDC serial port already open
20201203 11:14:20 Home condition : EDC serial port already open
20201203 11:14:21 Home condition : EDC serial port already open
20201203 11:14:21 Home condition : EDC serial port already open
20201203 11:14:21 Home condition : EDC serial port already open
20201203 11:14:21 Home condition : EDC serial port already open
20201203 11:14:22 Home condition : EDC serial port already open
20201203 11:14:22 Home condition : EDC serial port already open
20201203 11:14:22 Home condition : 1
20201203 11:14:22 Home condition : EDC pin 1
20201203 11:14:22 Home condition : EDC serial port already open
20201203 11:14:23 Home condition : EDC serial port already open
20201203 11:14:23 Home condition : EDC serial port already open
20201203 11:14:23 Home condition : EDC serial port already open
20201203 11:14:23 Home condition : EDC serial port already open
20201203 11:14:23 Home condition : 11
20201203 11:14:23 Home condition : EDC pin 1
20201203 11:14:24 Home condition : EDC serial port already open
20201203 11:14:24 Home condition : EDC serial port already open
20201203 11:14:24 Home condition : 111
20201203 11:14:24 Home condition : EDC pin 1
20201203 11:14:24 Home condition : EDC serial port already open
20201203 11:14:25 Home condition : EDC serial port already open
20201203 11:14:25 Home condition : EDC serial port already open
20201203 11:14:25 Home condition : 1111
20201203 11:14:25 Home condition : EDC pin 1
20201203 11:14:25 Home condition : EDC serial port already open
20201203 11:14:25 Home condition : EDC serial port already open
20201203 11:14:25 Home condition : 11111
20201203 11:14:25 Home condition : EDC pin 1
20201203 11:14:26 Home condition : EDC serial port already open
20201203 11:14:26 Home condition : EDC serial port already open
20201203 11:14:26 Home condition : EDC serial port already open
20201203 11:14:26 Home condition : EDC serial port already open
20201203 11:14:26 Home condition : 111111
20201203 11:14:26 Home condition : EDC pin 1
20201203 11:14:27 Home condition : EDC serial port already open
20201203 11:14:27 Home condition : EDC serial port already open
20201203 11:14:27 Home condition : EDC serial port close
20201203 11:14:29 Histori condition : post service start
20201203 11:14:30 Histori condition : post service start
20201203 11:14:33 Home condition : clear transaksi success
20201203 11:14:33 Home condition : clear transaction log success
20201203 11:14:33 Home condition : clear array success
20201203 11:14:33 Home condition : clear array nasabah success
20201203 11:14:33 Home condition : clear list success
20201203 11:14:33 Home condition : clear transaksi baru success
20201203 11:14:33 Home condition : clear transaksi success
20201203 11:14:33 Home condition : clear transaction log success
20201203 11:14:33 Home condition : clear array success
20201203 11:14:33 Home condition : clear array nasabah success
20201203 11:14:33 Home condition : clear list success
20201203 11:14:33 Home condition : clear transaksi baru success
20201203 11:14:35 Home condition : input kartu success
20201203 11:14:35 Home condition : move to input pin
20201203 11:14:35 Home condition : EDC process start
20201203 11:14:35 Home condition : entered into insert debit
20201203 11:14:35 Home condition : EDC serial port close
20201203 11:14:35 Home condition : EDC serial port open
20201203 11:14:35 Home condition : EDC serial port write
20201203 11:14:35 Home condition : EDC serial port already open
20201203 11:14:36 Home condition : EDC serial port already open
20201203 11:14:36 Home condition : EDC serial port already open
20201203 11:14:36 Home condition : EDC serial port already open
20201203 11:14:37 Home condition : EDC serial port already open
20201203 11:14:37 Home condition : EDC serial port already open
20201203 11:14:37 Home condition : EDC serial port already open
20201203 11:14:37 Home condition : EDC serial port already open
20201203 11:14:38 Home condition : EDC serial port already open
20201203 11:14:38 Home condition : EDC serial port already open
20201203 11:14:38 Home condition : EDC serial port already open
20201203 11:14:38 Home condition : EDC serial port already open
20201203 11:14:39 Home condition : EDC serial port already open
20201203 11:14:39 Home condition : EDC serial port already open
20201203 11:14:39 Home condition : EDC serial port already open
20201203 11:14:40 Home condition : EDC serial port already open
20201203 11:14:40 Home condition : EDC serial port already open
20201203 11:14:40 Home condition : EDC serial port already open
20201203 11:14:40 Home condition : EDC serial port already open
20201203 11:14:41 Home condition : EDC serial port already open
20201203 11:14:41 Home condition : EDC serial port already open
20201203 11:14:41 Home condition : EDC serial port already open
20201203 11:14:41 Home condition : EDC serial port already open
20201203 11:14:42 Home condition : EDC serial port already open
20201203 11:14:42 Home condition : EDC serial port already open
20201203 11:14:42 Home condition : EDC serial port already open
20201203 11:14:43 Home condition : EDC serial port already open
20201203 11:14:43 Home condition : EDC serial port already open
20201203 11:14:43 Home condition : EDC serial port close
20201203 11:14:43 Home condition : entered into histori input pin
20201203 11:14:43 Home condition : EDC process start
20201203 11:14:43 Home condition : EDC serial port close
20201203 11:14:43 Home condition : EDC serial port open
20201203 11:14:43 Home condition : EDC serial port write
20201203 11:14:43 Home condition : EDC serial port already open
20201203 11:14:44 Home condition : EDC serial port already open
20201203 11:14:44 Home condition : EDC serial port already open
20201203 11:14:44 Home condition : EDC serial port already open
20201203 11:14:45 Home condition : EDC serial port already open
20201203 11:14:45 Home condition : EDC serial port already open
20201203 11:14:45 Home condition : EDC serial port already open
20201203 11:14:45 Home condition : EDC serial port already open
20201203 11:14:46 Home condition : EDC serial port already open
20201203 11:14:46 Home condition : EDC serial port already open
20201203 11:14:46 Home condition : EDC serial port already open
20201203 11:14:46 Home condition : EDC serial port already open
20201203 11:14:47 Home condition : EDC serial port already open
20201203 11:14:47 Home condition : EDC serial port already open
20201203 11:14:47 Home condition : EDC serial port already open
20201203 11:14:48 Home condition : EDC serial port already open
20201203 11:14:48 Home condition : EDC serial port already open
20201203 11:14:48 Home condition : EDC serial port already open
20201203 11:14:48 Home condition : EDC serial port already open
20201203 11:14:49 Home condition : EDC serial port already open
20201203 11:14:49 Home condition : EDC serial port already open
20201203 11:14:49 Home condition : EDC serial port already open
20201203 11:14:49 Home condition : 1
20201203 11:14:49 Home condition : EDC pin 1
20201203 11:14:50 Home condition : EDC serial port already open
20201203 11:14:50 Home condition : EDC serial port already open
20201203 11:14:50 Home condition : EDC serial port already open
20201203 11:14:50 Home condition : 11
20201203 11:14:50 Home condition : EDC pin 1
20201203 11:14:50 Home condition : EDC serial port already open
