20201021 11:01:14 Ganti pin condition : EDC serial port already open
20201021 11:01:14 Ganti pin condition : EDC serial port already open
20201021 11:01:14 Ganti pin condition : EDC serial port already open
20201021 11:01:15 Ganti pin condition : EDC serial port already open
20201021 11:01:15 Ganti pin condition : EDC serial port already open
20201021 11:01:15 Ganti pin condition : EDC serial port already open
20201021 11:01:15 Ganti pin condition : EDC serial port already open
20201021 11:01:15 Ganti pin condition : EDC serial port already open
20201021 11:01:15 Ganti pin condition : EDC serial port already open
20201021 11:01:16 Ganti pin condition : EDC serial port already open
20201021 11:01:16 Ganti pin condition : EDC serial port already open
20201021 11:01:16 Ganti pin condition : EDC serial port already open
20201021 11:01:16 Ganti pin condition : EDC serial port already open
20201021 11:01:16 Ganti pin condition : EDC serial port already open
20201021 11:01:16 Ganti pin condition : EDC serial port already open
20201021 11:01:17 Ganti pin condition : EDC serial port already open
20201021 11:01:17 Ganti pin condition : EDC serial port already open
20201021 11:01:17 Ganti pin condition : EDC serial port already open
20201021 11:01:17 Ganti pin condition : EDC serial port already open
20201021 11:01:17 Ganti pin condition : EDC serial port already open
20201021 11:01:17 Ganti pin condition : EDC serial port already open
20201021 11:01:17 Ganti pin condition : EDC serial port already open
20201021 11:01:18 Ganti pin condition : EDC serial port already open
20201021 11:01:18 Ganti pin condition : EDC serial port already open
20201021 11:01:18 Ganti pin condition : EDC serial port already open
20201021 11:01:18 Ganti pin condition : EDC serial port already open
20201021 11:01:18 Ganti pin condition : EDC serial port already open
20201021 11:01:18 Ganti pin condition : EDC serial port already open
20201021 11:01:19 Ganti pin condition : EDC serial port already open
20201021 11:01:19 Ganti pin condition : EDC serial port already open
20201021 11:01:19 Ganti pin condition : EDC serial port already open
20201021 11:01:19 Ganti pin condition : EDC serial port already open
20201021 11:01:19 Ganti pin condition : EDC serial port already open
20201021 11:01:19 Ganti pin condition : EDC serial port already open
20201021 11:01:20 Ganti pin condition : EDC serial port already open
20201021 11:01:20 Ganti pin condition : EDC serial port already open
20201021 11:01:20 Ganti pin condition : EDC serial port already open
20201021 11:01:20 Ganti pin condition : EDC serial port already open
20201021 11:01:20 Ganti pin condition : EDC serial port already open
20201021 11:01:20 Ganti pin condition : EDC serial port already open
20201021 11:01:20 Ganti pin condition : EDC serial port already open
20201021 11:01:21 Ganti pin condition : EDC serial port already open
20201021 11:01:21 Ganti pin condition : EDC serial port already open
20201021 11:01:21 Ganti pin condition : EDC serial port already open
20201021 11:01:21 Ganti pin condition : EDC serial port already open
20201021 11:01:21 Ganti pin condition : EDC serial port already open
20201021 11:01:21 Ganti pin condition : EDC serial port already open
20201021 11:01:22 Ganti pin condition : EDC serial port already open
20201021 11:01:22 Ganti pin condition : EDC serial port already open
20201021 11:01:22 Ganti pin condition : EDC serial port already open
